exp_descr	Trial	train_data_id	test_data_id	Train Data Description	Dev Data Description	embedding_batch_size	embedding model id	Embedding model description	Embedding Paradigm	learning_rate	epochs	rand_seed	Train Accuracy	Test Accuracy	adjusted_train_accuracy	adjusted_test_accuracy	train Precision	test Precision	train f1	test f1	train recall	test recall	train true_pos	test true_pos	train true_neg	test true_neg	train false_pos	test false_pos	train false_neg	test false_neg
t1.tsvd1.tsvFull MRPC 4076/1726Full MRPC 4076/1726bert-base-uncased	442	t1.tsv	d1.tsv	Full MRPC 4076/1726	Full MRPC 4076/1726	64	bert-base-uncased	bert base uncased	cls	0.00247875217	10000	1,5834E+12	0,778159509	0,715362319	0,777581419	0,716969697	0,797727273	0,817413356	0,792708501	0,777956557	0,787752485	0,742133538	2457	967	623	216	662	336	219	131
t1.tsvd2.tsvFull MRPC 4076/1726All our data 1600/400bert-base-uncased	443	t1.tsv	d2.tsv	Full MRPC 4076/1726	All our data 1600/400	64	bert-base-uncased	bert base uncased	cls	0.00247875217	10000	1,5834E+12	0,778159509	0,5375	0,777581419	0,5375	0,797727273	0,948837209	0,792708501	0,68	0,787752485	0,52987013	2457	204	623	11	662	181	219	4
t2.tsvd2.tsvAll our data 1600/400All our data 1600/400bert-base-uncased	444	t2.tsv	d2.tsv	All our data 1600/400	All our data 1600/400	64	bert-base-uncased	bert base uncased	cls	0.00247875217	10000	1,5834E+12	0,760625	0,525	0,760625	0,525	0,50451931	0,523809524	0,603143418	0,533980583	0,74969475	0,544554455	614	110	603	100	205	92	178	98
t1.tsvd1.tsvFull MRPC 4076/1726Full MRPC 4076/1726Exp1	445	t1.tsv	d1.tsv	Full MRPC 4076/1726	Full MRPC 4076/1726	64	Exp1	bert base uncased, finetuned on MRPC	cls	0.00247875217	10000	1,5834E+12	0,989693252	0,806376812	0,989649079	0,81030303	0,675510204	0,707554226	0,804740921	0,774140753	0,995114619	0,854561879	2648	946	1272	391	13	161	28	152
t1.tsvd2.tsvFull MRPC 4076/1726All our data 1600/400Exp1	446	t1.tsv	d2.tsv	Full MRPC 4076/1726	All our data 1600/400	64	Exp1	bert base uncased, finetuned on MRPC	cls	0.00247875217	10000	1,5834E+12	0,989693252	0,5	0,989649079	0,5	0,675510204	0,955	0,804740921	0,665505226	0,995114619	0,510695187	2648	191	1272	9	13	183	28	17
t2.tsvd2.tsvAll our data 1600/400All our data 1600/400Exp1	447	t2.tsv	d2.tsv	All our data 1600/400	All our data 1600/400	64	Exp1	bert base uncased, finetuned on MRPC	cls	0.00247875217	10000	1,5834E+12	0,804375	0,64	0,805	0,645	0,485248447	0,484496124	0,607385811	0,56561086	0,811688312	0,679347826	625	125	663	133	145	59	167	83
t1.tsvd1.tsvFull MRPC 4076/1726Full MRPC 4076/1726Exp4	448	t1.tsv	d1.tsv	Full MRPC 4076/1726	Full MRPC 4076/1726	64	Exp4	bert base uncased, finetuned on all our data	cls	0.00247875217	10000	1,5834E+12	0,775214724	0,728115942	0,775814188	0,732121212	0,798893589	0,808774834	0,792574657	0,779728651	0,786354901	0,752696456	2455	977	618	231	667	321	221	121
t2.tsvd2.tsvAll our data 1600/400All our data 1600/400Exp4	449	t2.tsv	d2.tsv	All our data 1600/400	All our data 1600/400	64	Exp4	bert base uncased, finetuned on all our data	cls	0.00247875217	10000	1,5834E+12	0,97875	0,7775	0,97875	0,7775	0,498084291	0,533762058	0,658783784	0,633587786	0,972568579	0,779342723	780	166	786	145	22	47	12	42
t2.tsvd1.tsvAll our data 1600/400Full MRPC 4076/1726Exp4	450	t2.tsv	d1.tsv	All our data 1600/400	Full MRPC 4076/1726	64	Exp4	bert base uncased, finetuned on all our data	cls	0.00247875217	10000	1,5834E+12	0,97875	0,51884058	0,97875	0,518787879	0,498084291	0,799065421	0,658783784	0,7125	0,972568579	0,642857143	780	684	786	172	22	380	12	414
t1.tsvd1.tsvFull MRPC 4076/1726Full MRPC 4076/1726Exp6	451	t1.tsv	d1.tsv	Full MRPC 4076/1726	Full MRPC 4076/1726	64	Exp6	bert base uncased, finetuned on our data disjunct idioms	cls	0.00247875217	10000	1,5834E+12	0,772269939	0,722318841	0,773289573	0,726666667	0,789422135	0,811509591	0,790066983	0,779023219	0,790712884	0,749037721	2418	973	645	226	640	326	258	125
